,context,id,identifier,image,note,reading,sign,tablet
5841,LÚ.UMBISAG,6548,b6d2cb66-0ca6-4308-b15d-0250979a2f40__bm-49371,glyph_img/b6d2cb66-0ca6-4308-b15d-0250979a2f40__bm-49371.png,,UMBISAG,123,371
5842,I.mu-še-zib-d.EN,6547,c17dc9df-49c2-4d71-a9ef-6eb4ffcaf7d6__bm-49371,glyph_img/c17dc9df-49c2-4d71-a9ef-6eb4ffcaf7d6__bm-49371.png,PN,zib,88,371
5843,I.mu-še-zib-d.EN,6546,f5945215-c2ee-44f1-9eee-3837c3995c02__bm-49371,glyph_img/f5945215-c2ee-44f1-9eee-3837c3995c02__bm-49371.png,PN,še,95,371
5844,I.mu-še-zib-d.EN,6545,ba589b74-6323-42f0-99b4-49f8c0226fa1__bm-49371,glyph_img/ba589b74-6323-42f0-99b4-49f8c0226fa1__bm-49371.png,PN,mu,174,371
5845,i-nam-din,6544,c240a02c-aa0d-41dc-8ba4-798a2f2f7618__bm-49371,glyph_img/c240a02c-aa0d-41dc-8ba4-798a2f2f7618__bm-49371.png,,din,103,371
5846,i-nam-din,6543,4a2f1fc2-7ed6-40e3-ac1a-5a14b6775cac__bm-49371,glyph_img/4a2f1fc2-7ed6-40e3-ac1a-5a14b6775cac__bm-49371.png,,nam,169,371
5847,i-nam-din,6542,9a5b1bfd-90ed-4c70-8c5d-1924fc34af3d__bm-49371,glyph_img/9a5b1bfd-90ed-4c70-8c5d-1924fc34af3d__bm-49371.png,,i,155,371
5848,UD.KIB.NUN.KI,6541,eb540e2b-1252-4977-9883-8d590636efe5__bm-49371,glyph_img/eb540e2b-1252-4977-9883-8d590636efe5__bm-49371.png,GN,KI,193,371
5849,UD.KIB.NUN.KI,6540,8d1c1284-3007-4d9b-9454-498f975e99f3__bm-49371,glyph_img/8d1c1284-3007-4d9b-9454-498f975e99f3__bm-49371.png,GN,NUN,92,371
5850,UD.KIB.NUN.KI,6539,5663407f-264f-48ef-8239-3a998930ee6a__bm-49371,glyph_img/5663407f-264f-48ef-8239-3a998930ee6a__bm-49371.png,GN,KIB,20,371
5851,ITI.DU6,6538,bb6848c6-5585-4984-b477-0a8e988aa9c5__bm-49371,glyph_img/bb6848c6-5585-4984-b477-0a8e988aa9c5__bm-49371.png,MN,DU6,50,371
5852,ITI.DU6,6537,8cbca58b-8296-4797-8261-31ce8f136472__bm-49371,glyph_img/8cbca58b-8296-4797-8261-31ce8f136472__bm-49371.png,MN,ITI,177,371
